Año;Hora_24;Mes;Dia;Mes resumido;dia resumido;Fecha Dia;Semana2;Delito;Total General Año Anterior;Estación Final;CAI Final;Cuadrante Final;Genero Final;Zona Final;Clase Sitio Final;Arma Final;Modalidad Final;Causa Lesion Final;Barrio Hecho Final;Grupo Edad Ley Final
2025;15;Marzo;Domingo;Mar;Dom;16;12;H. Automotores;1;E-Timbio;Z. Atención 2 E-Timbio;Z. Atención 2 E-Timbio;Femenino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Boyaca;Adolescencia (12 a 17 años) 
2025;15;Mayo;Domingo;May;Dom;18;21;H. Automotores;1;E-Norte;No Reportado;E-Norte;Femenino;Urbano;Vias Publicas;Sin Empleo de Armas;Halado;No Reportado;Vda La Rejoya;Adolescencia (12 a 17 años) 
2026;11;Enero;Sábado;Ene;Sáb;31;5;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Rio Blanco Norte;Adolescencia (12 a 17 años) 
2026;11;Abril;Miércoles;Abr;Mié;15;16;H. Automotores;0;E-Coconuco;No Reportado;E-Coconuco;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Cmiento Paletara;Infancia (0 a 11 años)
2026;3;Abril;Sábado;Abr;Sáb;25;17;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda La Cabuyera;Adolescencia (12 a 17 años) 
2026;0;Mayo;Martes;May;Mar;26;22;H. Automotores;0;E-Coconuco;No Reportado;E-Coconuco;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Cmiento Paletara;Infancia (0 a 11 años)
2026;0;Abril;Miércoles;Abr;Mié;1;14;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Santa Barbara;Infancia (0 a 11 años)
2026;1;Abril;Miércoles;Abr;Mié;1;14;H. Automotores;0;E-Coconuco;No Reportado;E-Coconuco;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Cmiento Paletara;Infancia (0 a 11 años)
2026;0;Abril;Jueves;Abr;Jue;9;15;H. Automotores;0;E-Timbio;No Reportado;E-Timbio;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda La Bocana;Adolescencia (12 a 17 años) 
2026;21;Abril;Martes;Abr;Mar;21;17;H. Automotores;0;E-Coconuco;No Reportado;E-Coconuco;Femenino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Alto Calaguala;Adolescencia (12 a 17 años) 
2026;22;Febrero;Viernes;Feb;Vie;6;6;H. Automotores;0;E-Norte;CAI 2;Z. Atención 7 Norte;Femenino;Rural;Carretera;Llave Maestra;Halado;No Reportado;Vda Lame;Adolescencia (12 a 17 años) 
2026;1;Enero;Lunes;Ene;Lun;26;5;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Rio Blanco Norte;Adolescencia (12 a 17 años) 
2026;22;Febrero;Lunes;Feb;Lun;2;6;H. Automotores;0;E-Norte;No Reportado;E-Norte;Femenino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Cabuyera;Adolescencia (12 a 17 años) 
2026;16;Marzo;Sábado;Mar;Sáb;7;10;H. Automotores;0;E-Norte;No Reportado;E-Norte;Femenino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Claridad;Adolescencia (12 a 17 años) 
2026;11;Mayo;Lunes;May;Lun;25;22;H. Automotores;0;E-Sur;No Reportado;E-Sur;Femenino;Rural;Frente A Residencias - Via Publica;Llave Maestra;Halado;No Reportado;Vda Figueroa;Infancia (0 a 11 años)
2025;21;Marzo;Sábado;Mar;Sáb;1;9;H. Automotores;1;E-Norte;CAI 1;Z. Atención 1 Norte;Masculino;Urbano;Frente A Residencias - Via Publica;Sin Empleo de Armas;Halado;No Reportado;Champagña;Adolescencia (12 a 17 años) 
2025;20;Abril;Miércoles;Abr;Mié;16;16;H. Automotores;1;E-Sur;CAI 9;Z. Atención 21 Sur;Masculino;Urbano;Zona De Parqueo;Llave Maestra;Halado;No Reportado;Lomas De Comfacauca;Adolescencia (12 a 17 años) 
2025;17;Diciembre;Jueves;Dic;Jue;4;49;H. Automotores;1;E-Sur;CAI 9;Z. Atención 20 Sur;Masculino;Urbano;Vias Publicas;Sin Empleo de Armas;Halado;No Reportado;San Jose;Adolescencia (12 a 17 años) 
2025;15;Agosto;Viernes;Ago;Vie;22;34;H. Automotores;1;E-Norte;CAI 4;Z. Atención 17 Norte;Masculino;Urbano;Vehiculo;Sin Empleo de Armas;Factor De Oportunidad;No Reportado;El Empedrado;Adolescencia (12 a 17 años) 
2026;7;Julio;Martes;Jul;Mar;7;28;H. Automotores;0;E-Norte;CAI 3;Z. Atención 12 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Bolivar;Infancia (0 a 11 años)
2026;8;Junio;Martes;Jun;Mar;9;24;H. Automotores;0;E-Norte;CAI 4;Z. Atención 14 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Centro;Adolescencia (12 a 17 años) 
